PACK_NAME,NEW_DEFINITION,AUGMENT_DEFINITION,PARENT_DIRECTORY
IBM DB2,TRUE,FALSE,Java
JSF,TRUE,FALSE,Java
Kubernetes plugin for Logs,TRUE,FALSE,Kubernetes
Lacework,TRUE,FALSE,
Lambda-go (aws-lambda-go),TRUE,FALSE,Golang
LaunchDarkly,TRUE,FALSE,
Logxi,TRUE,FALSE,Golang
Mule ESB,TRUE,FALSE,Java
Mux,TRUE,FALSE,Golang
NancyFX,TRUE,FALSE,.NET
Netty,TRUE,FALSE,Java
OKHTTP,TRUE,FALSE,
PDO,TRUE,FALSE,PHP
PHPunit,TRUE,FALSE,PHP
Proboscis,TRUE,FALSE,Python
Google Cloud Spanner,TRUE,FALSE,GCP
ActiveRecord,TRUE,FALSE,Ruby
AIOHTTP,TRUE,FALSE,Python
Amazon Athena,TRUE,FALSE,AWS
AWS Elasticsearch,TRUE,FALSE,AWS
AWS SQS,TRUE,FALSE,AWS
Azure MariaDB,TRUE,FALSE,Azure
bottle,TRUE,FALSE,Python
C++,TRUE,FALSE,
celery,TRUE,FALSE,Python
cherrypy,TRUE,FALSE,Python
CloudAMQP,TRUE,FALSE,
CloudFoundry,TRUE,FALSE,
Consul,TRUE,FALSE,
CSLA .NET,TRUE,FALSE,.NET
django,TRUE,FALSE,Python
DNN Community,TRUE,FALSE,.NET
DNN Evoq,TRUE,FALSE,.NET
dropbox,TRUE,FALSE,Python
Echo,TRUE,FALSE,Golang
facepy,TRUE,FALSE,Python
feedparser,TRUE,FALSE,Python
flask,TRUE,FALSE,Python
GCP Firebase Database,TRUE,FALSE,GCP
gevent,TRUE,FALSE,Python
Gin,TRUE,FALSE,Golang
Go Insights,TRUE,FALSE,Golang
Grails,TRUE,FALSE,Java
Grape,TRUE,FALSE,Ruby
gRPC,TRUE,FALSE,Java
Guzzle,TRUE,FALSE,PHP
H2,TRUE,FALSE,Java
Hapi,TRUE,FALSE,Node.js
httplib2,TRUE,FALSE,Python
HttpRb,TRUE,FALSE,Ruby
Hystrix,TRUE,FALSE,Java
Inet Merlia,TRUE,FALSE,Java
iOS,TRUE,FALSE,
JAX-RS,TRUE,FALSE,Java
JCache API,TRUE,FALSE,Java
Jersey,TRUE,FALSE,Java
Jetty,TRUE,FALSE,Java
jinja2,TRUE,FALSE,Python
JMS,TRUE,FALSE,Java
Joomla,TRUE,FALSE,PHP
JSP,TRUE,FALSE,Java
Kamon,TRUE,FALSE,
Koa,TRUE,FALSE,Node.js
Kohana,TRUE,FALSE,PHP
Lighthouse,TRUE,FALSE,
Logstash plugin for Logs,TRUE,FALSE,
mako,TRUE,FALSE,Python
MediaWiki,TRUE,FALSE,PHP
Micro,TRUE,FALSE,Golang
Net::HTTP,TRUE,FALSE,Ruby
New Relic Micrometer Registry,TRUE,FALSE,
OpenCensus,TRUE,FALSE,
OpenRasta,TRUE,FALSE,.NET
OpenTelemetry Java Exporter,TRUE,FALSE,Java
Pika,TRUE,FALSE,Python
piston,TRUE,FALSE,Python
Pkg/Errors,TRUE,FALSE,
Play,TRUE,FALSE,Java
Port monitoring,TRUE,FALSE,
